"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"ZA",12,6,90,105,"750074",38,31.4,14.8,0.04,0.5,0.41,,1.81,0.21,0.24,12.6,,2.1,6.8,1.6,3.3,"","26.03.2004","OSP"
"ZA",12,7,102,120,"750075",37.6,30.9,16,0.06,0.4,0.41,,1.8,0.19,0.24,12.7,,2.1,6.2,1.6,3,"","26.03.2004","OSP"
"ZA",13,1,0,20,"750077",63,18.5,7.8,0.02,0.51,1.16,,2.41,8,0.34,7.3,101.1,5.8,21.4,4.6,3.7,"","26.03.2004","OSP"
"ZA",13,2,20,50,"750078",62.5,17.1,7.3,0,0.43,0.92,,2.51,0.05,0.34,7,98.2,6.2,22.7,4.9,3.7,"","26.03.2004","OSP"
"ZA",13,3,50,80,"750079",59,18.3,7.7,0.01,0.47,0.87,,2.44,0.03,0.41,6.6,97,5.5,20.3,4.3,3.7,"","26.03.2004","OSP"
"ZA",13,4,80,110,"750080",65.4,17.4,7.5,0.01,0.42,0.89,,3.19,0.03,0.41,6.6,101.8,6.4,23.1,5,3.6,"","26.03.2004","OSP"
"ZA",13,5,110,120,"750081",64,17.6,7.7,0,0.31,0.68,,3.03,0.03,0.21,6.8,100.3,6.2,22.2,4.8,3.6,"","26.03.2004","OSP"
"ZA",14,1,0,22,"750082",58.8,21.5,7.1,0.02,0.47,1.27,,1.78,0.08,0.47,8.7,100.1,4.6,22.1,3.8,4.8,"","26.03.2004","OSP"
"ZA",14,2,22,35,"750083",70,15.6,5.6,0.01,0.42,1.39,,2.19,0.1,0.32,6.1,101.7,7.6,33,6.2,4.3,"","26.03.2004","OSP"
"ZA",14,5,100,120,"750086",76.9,10.6,4.6,0.01,0.25,1.05,,3.19,0.03,0.21,4.2,100.9,12.4,44.8,9.7,3.6,"","26.03.2004","OSP"
"ZA",15,1,0,20,"750087",60,22,6.2,0.01,0.52,1.4,,2.06,0.01,0.27,8.3,100.7,4.6,25.9,3.9,5.6,"","26.03.2004","OSP"
"ZA",15,2,20,50,"750088",60.4,22.2,6.2,0.02,0.54,1.42,,2.12,0.01,0.25,7.8,101,4.6,16.6,3.6,3.6,"","26.03.2004","OSP"
"ZA",15,3,50,65,"750089",55.1,22.3,9.7,0.02,0.62,1.8,,1.9,0.01,0.22,7.9,99.7,4.2,15.1,3.3,3.6,"","26.03.2004","OSP"
