"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"DE",2,3,35,45,"670003",79.7,8.8,3.5,0.27,0.38,1.9,,0.8,0.1,0.03,3.1,98.6,15.4,60.6,12.3,3.9,"","19.05.1995","","DE0023"
"DE",2,4,45,60,"670004",74.4,10.9,5.1,0.24,0.62,2.07,,0.76,0.13,0.03,4.2,98.5,11.6,38.8,8.9,3.4,"","19.05.1995","","DE0024"
"DE",2,5,70,90,"670005",76.4,9.3,3.8,0.2,0.62,1.79,,0.67,0.1,0.06,3,95.9,13.9,53.5,11.1,3.8,"","19.05.1995","","DE0025"
"DE",3,1,0,10,"670006",71.5,6.4,2.5,0.45,0.35,1.8,0.56,0.56,0.06,0.1,15,98.7,19,76.1,15.2,4,"","19.05.1995","","DE0031"
"DE",3,2,15,30,"670007",82.5,7.7,2.5,0.27,0.33,1.93,0.69,0.63,0.04,0.04,3,98.9,18.2,87.9,15.1,4.8,"","19.05.1995","","DE0032"
"DE",3,3,33,45,"670008",80.4,8.4,3.2,0.27,0.56,2.15,0.62,0.65,0.05,0.1,2.2,98,16.2,66.9,13.1,4.1,"","19.05.1995","","DE0033"
"DE",3,4,45,70,"670009",78,9.9,4.2,0.26,0.76,2.25,0.44,0.64,0.09,0.08,2.9,99.1,13.4,49.4,10.5,3.7,"","19.05.1995","","DE0034"
"DE",3,5,70,90,"670010",77.6,10.2,4.6,0.35,0.89,2.21,0.28,0.61,0.1,0.1,3,99.7,12.9,44.9,10,3.5,"","19.05.1995","","DE0035"
"DE",3,6,95,117,"670011",78,9.5,4.2,0.51,0.82,2.19,0.5,0.6,0.1,0.11,2.8,98.8,13.9,49.4,10.9,3.5,"","19.05.1995","","DE0036"
"DE",3,7,117,130,"670012",78.6,9.5,3.8,0.73,0.9,2.47,0.85,0.65,0.06,0.14,2.5,99.4,14,55.1,11.2,3.9,"","19.05.1995","","DE0037"
"DE",4,1,0,10,"670013",76.2,7.5,2.5,0.46,0.36,1.69,0.58,0.63,0.05,0.12,10.7,100.2,17.2,81.1,14.2,4.7,"","19.05.1995","","DE0041"
"DE",4,2,20,38,"670014",81.4,7.7,3.5,0.33,0.34,1.77,0.58,0.68,0.06,0.06,3.2,99,17.9,61.9,13.9,3.5,"","19.05.1995","","DE0042"
"DE",4,3,38,60,"670015",76,10.9,4.8,0.57,0.83,2.25,0.56,0.66,0.1,0.03,3.8,99.9,11.8,42.2,9.2,3.6,"","19.05.1995","","DE0043"
"DE",4,4,60,75,"670016",77.8,10.1,4.4,0.49,0.75,2.04,0.41,0.59,0.19,0.03,3.3,99.7,13.1,47.1,10.2,3.6,"","19.05.1995","","DE0044"
