"ISO","ID","HORI","MOTTA","MOTTA2","MOTTS","MOTTS2","MOTTC","MOTTC2","MOTTB","MOTTB2","MOTTHUE","MOTTVAL","MOTTCH","MOTTHU2","MOTTVA2","MOTTCH2","CUTC","CUTT","CUTK","CUTL","INCQ","INCQ2","INCT","INCT2","INCSI","INCSI2","INCH","INCH2","INCSH","INCSH2","INCC","INCC2","ROCKQ","ROCKQ2","ROCKS","ROCKS2","ROCKW","ROCKW2","ROCKC","ROCKC2","PANK","PANC","PANY","PANS","BIOA","BIOK","BIOK2","EDITDATE","VER"
"AU","4","4","F","","","","","","","","10 YR","4","4","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU","4","5","","","","","","","","","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","2","","","","","","","","","","","","","","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","3","F","","F","","D","","C","","10YR","5","4","","","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","4","C","C","F","F","F","F","D","D","10YR","3","2","7.5YR","5","4","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","5","C","F","M","F","D","D","C","C","7.5YR","5","4","2.5YR","5","6","","","","","","","C","","","","","","","","M","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","6","M","C","H","M","D","D","C","C","10YR","7","2","2.5YR","5","6","","","","","","","C","","","","","","","","M","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","5","7","M","C","H","M","D","D","D","C","10YR","7","2","2.5YR","5","6","","","","","","","C","","","","","","","","M","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","6","1","C","","F","","D","","C","","10YR","6","1","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","F","X","","2003-03-13 00:00:00","OSP"
"AU","6","2","","","","","","","","","","","","","","","","","","","F","","N","","","","","","","","M","","","","","","","","","","","","","","F","X","","2003-03-13 00:00:00","OSP"
"AU","6","3","","","","","","","","","","","","","","","","","","","F","F","N","N","S","M","S","H","I","S","K","K","","","","","","","","","","","","","F","X","","2003-03-13 00:00:00","OSP"
"AU","6","4","C","M","M","C","D","D","","D","10YR","5","2","10YR","4","2","","","","","F","F","N","N","","","S","H","A","A","K","K","","","","","","","","","","","","","F","X","","2003-03-13 00:00:00","OSP"
"AU","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
"AU","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-13 00:00:00","OSP"
