"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"MZ","3","3","17","30","830019","5.8","4.9","","","","0.64","0.06","","2.5","1.6","0.5","0.1","4.7","0","0","12.3","18","2.2","4.7","38","0","","0.03","","1994-06-16 00:00:00",""
"MZ","3","4","30","60","830020","5.6","5.2","","","","0.29","0.05","","2.1","1.4","0.6","0.1","4.2","0","0","9.8","13","1","4.2","43","0","","0.02","","1994-06-16 00:00:00",""
"MZ","3","5","60","95","830021","5.6","5.4","","","","0.19","0.03","","1.6","1.1","0.5","0.2","3.4","0","0","7.9","13","0.7","3.4","43","0","","0.01","","1994-06-16 00:00:00",""
"MZ","3","6","95","160","830022","5.8","5.7","","","","0.15","0.02","","1.4","1.2","0.3","0.1","3","0","0","7.5","12","0.5","3","40","0","","0.01","","1994-06-16 00:00:00",""
"MZ","3","7","160","260","830023","5.8","5.7","","","","0.07","0.04","","1.9","1.3","0.5","0.2","3.9","0.2","0","9","16","0.2","4.1","43","0","","0.01","","1994-06-16 00:00:00",""
"PE","26","1","0","8","850513","4","3.6","","","","1.5","","","0.2","0.1","0.1","0.1","0.5","2.8","2.7","6.2","620","5.3","3.3","8","44","","0.17","specific surface = 33 m2/g fine earth","1995-04-12 00:00:00",""
"PE","26","2","8","35","850514","4.3","3.7","","","","0.4","","","0.4","0","0","0.1","0.5","3.6","3.7","4.9","61","1.4","4.1","10","76","","0.09","specific surface = 40 m2/g fine earth","1995-04-12 00:00:00",""
"PE","26","3","35","60","850515","4.4","3.8","","","","0.3","","","0.2","0","0","0","0.2","3.8","3.8","4.9","31","1.1","4","4","78","","0.05","specific surface = 41 m2/g fine earth","1995-04-12 00:00:00",""
"PE","26","4","60","100","850516","4.5","3.8","","","","0.2","","","0.2","0","0","0","0.2","4.3","4.4","4.6","29","0.7","4.5","4","96","","0.04","specific surface = 47 m2/g fine earth","1995-04-12 00:00:00",""
"PE","26","5","100","150","850518","4.5","3.7","","","","0.1","","","0.2","0","0","0","0.2","4.4","4.4","5.5","32","0.4","4.6","4","80","","0.05","specific surface = 49 m2/g fine earth","1995-04-12 00:00:00",""
"PE","26","6","150","220","850519","4.5","3.7","","","","0.2","","","0.4","0.1","0.2","0.1","0.8","4.5","4.5","5.9","27","0.7","5.3","14","76","","0.05","","1995-04-12 00:00:00",""
"PE","26","7","220","260","850520","4.5","3.7","","","","0.1","","","0.4","0.1","0.1","0.7","1.3","4.6","4.6","5.3","24","0.4","5.9","25","87","","0.08","","1995-04-12 00:00:00",""
"PE","26","8","260","305","850521","4.6","3.6","","","","0.1","","","0.2","0.1","0.3","0.2","0.8","4.1","4","12.4","43","0.4","4.9","6","32","","0.06","","1995-04-12 00:00:00",""
"OM","2","1","0","12","820196","8.5","8.1","","39.3","","0.52","","","8.4","4.3","0.2","0.7","13.6","","","11.6","72","1.8","13.6","117","","","0.9","material <50mu: calcite (xxx); dolomite (x)","1992-01-17 00:00:00",""
"OM","2","2","12","32","820197","8.4","8","","50.6","","0.48","","","9.2","5.6","0.1","1.3","16.2","","","17.1","61","1.7","16.2","95","","","1.2","material <50mu: calcite (xxx); dolomite (x)","1992-01-17 00:00:00",""
"OM","2","3","32","52","820198","8.2","8","","69.1","","0.48","","","9.8","6","0.7","1.3","17.8","","","16.4","43","1.7","17.8","109","","","3.7","","1992-01-17 00:00:00",""
"OM","2","4","52","106","820199","8.2","8.1","","70.7","","0.21","","","6.9","5.8","0.6","1.2","14.5","","","10","33","0.7","14.5","145","","","7","material <50mu: calcite (trace); dolomite (xxx)","1992-01-17 00:00:00",""
"OM","2","5","106","150","820200","8.5","8.1","","31.1","","0.09","","","3.7","2.9","0.9","0.4","7.9","","","6.8","58","0.3","7.9","116","","","2.7","material <50mu: calcite (xxx); dolomite (x)","1992-01-17 00:00:00",""
"OM","3","1","0","5","820201","7.9","7.8","","36.4","","0.16","","","11.1","0.8","0","0.4","12.3","","","5.4","79","0.6","12.3","228","","","1.9","material <50mu: calcite (xxx); dolomite (x); gypsum (trace)","1996-07-24 00:00:00","OSP"
"OM","3","2","5","20","820202","8.6","8.1","","40.6","","0.12","","","6.5","1","0","0.4","7.9","","","6.2","67","0.4","7.9","127","","","0.18","material <50mu: calcite (xxx); dolomite (x); gypsum (trace)","1996-07-24 00:00:00","OSP"
"OM","3","3","20","38","820203","8.7","8.1","","41.6","","0.08","","","5.7","1.1","0","0.4","7.2","","","4.7","39","0.3","7.2","153","","","0.16","material <50mu: calcite (xxx); dolomite (x); gypsum (trace)","1996-07-24 00:00:00","OSP"
"OM","3","4","38","90","820204","8.5","8.1","","36.9","","0.04","","","5.1","0.8","0","0.3","6.2","","","3.4","29","0.1","6.2","182","","","0.21","material <50mu: calcite (xxx); dolomite (x); gypsum (trace)","1996-07-24 00:00:00","OSP"
"OM","3","5","90","115","820205","7.9","7.5","","29.3","","0.03","","","41.5","0.2","0","0.2","41.9","","","3.4","17","0.1","41.9","","","","2","material <50mu: calcite (xxx); gypsum (x)","1996-07-24 00:00:00","OSP"
